Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,5532842.0,483.969974201324,,,,0.877235761761439,Zimbabwe
1973,5712712.0,579.296418233582,,,,0.921327956613642,Zimbabwe
1974,5903530.0,674.53903003796,,,,0.837484889487402,Zimbabwe
1975,6097083.0,716.949515038585,,,,0.660444155672018,Zimbabwe
1976,6288387.0,686.721730071638,,,,0.673633489657677,Zimbabwe
1977,6453044.0,676.329202156378,,,,-0.0874165787759298,Zimbabwe
1978,6549349.0,664.432526041901,,,,0.0578907758802935,Zimbabwe
1979,6655833.0,777.883008783424,,,,0.0028382915463138,Zimbabwe
1980,7049926.0,947.367135484826,,,,0.0232028775544117,Zimbabwe
1981,7506526.0,1067.25451960068,,,,0.0442628790945583,Zimbabwe
1982,7803855.0,1094.2925900084,,,,-0.00985145814516024,Zimbabwe
1983,8106356.0,957.775232175838,,,,-0.0267169473335059,Zimbabwe
1984,8398567.0,756.334491348346,,,,-0.0391710925085883,Zimbabwe
1985,8690515.0,648.66803635918,,,,0.0505318089353096,Zimbabwe
1986,8983044.0,692.139958348195,,,,0.1197442656167,Zimbabwe
1987,9277488.0,726.620729663029,,,,-0.452539835851443,Zimbabwe
1988,9568739.0,816.69947314897,,,,-0.230762892924391,Zimbabwe
1989,9846346.0,841.563225586426,,,,-0.122862256908151,Zimbabwe
1990,10113893.0,868.490174851563,,,,-0.138958362135941,Zimbabwe
1991,10377815.0,832.687969481052,,,4.99700021743774,0.0322917526460772,Zimbabwe
1992,10641501.0,634.447358507038,,,5.06899976730347,0.221431698208997,Zimbabwe
1993,10794918.0,608.046610451325,,,5.01000022888184,0.425897783417555,Zimbabwe
1994,10858594.0,634.58261723387,,,4.96000003814697,0.502837235054445,Zimbabwe
1995,10994041.0,646.829559758782,,,5.65399980545044,1.6551191055067,Zimbabwe
1996,11178171.0,765.165124061888,,,6.23600006103516,0.945850735213635,Zimbabwe
1997,11362401.0,750.683909149131,,,6.92999982833862,1.58390135209135,Zimbabwe
1998,11548364.0,554.361483583302,,,6.45300006866455,6.94005321675918,Zimbabwe
1999,11716454.0,585.331799194534,,,6.0,0.860307484685324,Zimbabwe
2000,11834676.0,565.284389703613,,,5.68800020217896,0.346788444518692,Zimbabwe
2001,11910978.0,569.003208636604,,,5.34000015258789,0.0560688240111263,Zimbabwe
2002,11984644.0,529.186882814375,,,5.06899976730347,0.408381024037969,Zimbabwe
2003,12075828.0,474.30220105818,,,4.77400016784668,0.0663455084211832,Zimbabwe
2004,12160881.0,477.399491040164,,,4.3899998664856,0.1498553516895,Zimbabwe
2005,12224753.0,470.783761438779,,,4.5460000038147,1.78620601363438,Zimbabwe
2006,12330490.0,441.498796884795,,,4.69199991226196,0.734767826684435,Zimbabwe
2007,12450568.0,425.036841692684,,,4.84800004959106,1.3019775073087,Zimbabwe
2008,12550347.0,351.839100544391,,,5.07499980926514,1.16855690559609,Zimbabwe
2009,12679810.0,762.297957461508,,,5.0770001411438,1.08630504638528,Zimbabwe
2010,12839771.0,937.840338429712,99.34855652,3.02267002518892,5.18900012969971,1.01802173234682,Zimbabwe
2011,13025785.0,1082.61577402053,88.38669586,3.46612972817488,5.36999988555908,2.44151145681804,Zimbabwe
2012,13265331.0,1290.19395595933,90.28308105,3.72532666110647,5.13899993896484,2.04413128045503,Zimbabwe
2013,13555422.0,1408.36780957465,101.67493439,1.63495041543823,4.99399995803833,1.95406007743644,Zimbabwe
2014,13855753.0,1407.03429326432,116.71054077,-0.197784810126586,4.76999998092651,2.42517259849,Zimbabwe
2015,14154937.0,1410.32917419555,107.68699945,-2.43096842383406,5.28200006484985,1.999687362506,Zimbabwe
2016,14452704.0,1421.78778932994,112.41140395,-1.54366960054164,5.7960000038147,1.6692743553211,Zimbabwe
2017,14751101.0,1192.10701204487,115.64620121,0.893962316050074,6.27899980545044,1.74688452649559,Zimbabwe
2018,15052184.0,2269.17701232332,141.36930784,10.6188658669575,6.78399991989136,2.10172108199503,Zimbabwe
2019,15354608.0,1421.86859641758,103.02827223,255.304990757856,7.36999988555908,1.14280558472994,Zimbabwe
2020,15669666.0,1372.69667433317,,557.20181736205,7.89799976348877,0.699033511122024,Zimbabwe
2021,15993524.0,1773.92041088078,,98.5461050920624,8.06700038909912,0.585099586088186,Zimbabwe
