Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)"
1972,209896000.0,6094.01798986165,,3.27227824655283,,0.09928778603873
1973,211909000.0,6726.35895596695,,6.17776006377041,,0.135402869137687
1974,213854000.0,7225.69135952566,,11.0548048048048,,0.22909018193255
1975,215973000.0,7801.45666356443,,9.14314686496534,,0.137099799157697
1976,218035000.0,8592.25353727612,,5.74481263549085,,0.155331555472048
1977,220239000.0,9452.57651914511,,6.50168399472839,,0.140261481987448
1978,222585000.0,10564.9482220275,,7.63096383885602,,0.23388341294583
1979,225055000.0,11674.1818666548,,11.2544711292795,,0.306394355036077
1980,227225000.0,12574.7915062163,,13.5492019749684,,0.585866341978653
1981,229466000.0,13976.10539252,,10.3347153402771,,0.800738125892372
1982,231664000.0,14433.787727053,,6.13142700027494,,0.634908482562745
1983,233792000.0,15543.8937174925,,3.21243523316063,,0.316452387124185
1984,235825000.0,17121.2254849995,,4.30053547523427,,0.624874152128993
1985,237924000.0,18236.8277265009,,3.54564415209369,,0.221941613453303
1986,240133000.0,19071.2271949295,,1.89804772234275,,0.675731298001957
1987,242289000.0,20038.9410992658,,3.66456321751691,,1.30241400226355
1988,244499000.0,21417.0119305191,,4.07774110744408,,1.08680748249096
1989,246819000.0,22857.1544330056,,4.82700303008949,,1.34324072334346
1990,249623000.0,23888.6000088133,,5.39795643990322,,1.19450410722934
1991,252981000.0,24342.2589048189,,4.23496396453853,6.80000019073486,0.56104703230478
1992,256514000.0,25418.9907763319,,3.0288196781497,7.5,0.464853986617542
1993,259919000.0,26387.2937338171,,2.95165696638554,6.90000009536743,0.732369583756588
1994,263126000.0,27694.853416234,,2.6074415921546,6.11999988555908,0.767643589421284
1995,266278000.0,28690.8757013347,,2.80541968853655,5.65000009536743,0.904218188320061
1996,269394000.0,29967.7127181749,,2.9312041999344,5.44999980926514,1.20969310261879
1997,272657000.0,31459.1389804773,,2.33768993730741,5.0,1.42406557267981
1998,275854000.0,32853.6769523009,,1.55227909874362,4.51000022888184,2.32984922894518
1999,279040000.0,34515.3902272076,,2.18802719697358,4.21999979019165,3.24414224201686
2000,282162411.0,36329.9560727102,4543.43603516,3.37685727149935,3.99000000953674,3.40578256861876
2001,284968955.0,37133.623113437,4894.28076172,2.82617111885402,4.73000001907349,1.63009964802286
2002,287625193.0,37997.7596573051,5322.7421875,1.58603162650603,5.78000020980835,1.01613919132561
2003,290107933.0,39490.2749557007,5732.22949219,2.27009497336113,5.98999977111816,1.02218472001084
2004,292805298.0,41724.6316287624,6097.28759766,2.67723669309173,5.53000020980835,1.74869134454691
2005,295516599.0,44123.4070679055,6454.40380859,3.39274684549547,5.07999992370605,1.09166213272067
2006,298379912.0,46302.0008800056,6828.61572266,3.22594410070407,4.61999988555908,2.16033528740671
2007,301231207.0,48050.2237771135,7181.89208984,2.85267248150136,4.61999988555908,2.39469093772646
2008,304093966.0,48570.0459804586,7401.36914063,3.83910029665101,5.78000020980835,2.30937902080946
2009,306771529.0,47194.9433547336,7657.55908203,-0.35554626629975,9.25,1.11260034220261
2010,309327143.0,48650.6431283336,7888.35205078,1.64004344238989,9.63000011444092,1.75453268550496
2011,311583481.0,50065.9665041742,8080.21484375,3.15684156862206,8.94999980926514,1.68911277121237
2012,313877662.0,51784.4185738837,8342.58007813,2.06933726526059,8.06999969482422,1.54020811932936
2013,316059947.0,53291.1276891406,8522.12597656,1.46483265562714,7.36999988555908,1.71066753395925
2014,318386329.0,55123.8497869046,8939.39648438,1.62222297740821,6.17000007629395,1.43502130688419
2015,320738994.0,56762.7294515989,9392.06640625,0.118627135552435,5.28000020980835,2.80914762910409
2016,323071755.0,57866.7449341091,9775.0,1.26158320570537,4.86999988555908,2.53749765919682
2017,325122128.0,59907.754260885,10103.09179688,2.13011000365963,4.3600001335144,1.95521086285051
2018,326838199.0,62823.309438197,10515.32324219,2.44258329692818,3.90000009536743,1.0457039920427
2019,328329953.0,65120.3946628653,10921.01269531,1.81221007526015,3.67000007629395,1.47207498033874
2020,331501080.0,63530.633483909,,1.23358439630637,8.05000019073486,0.707068619330959
2021,331893745.0,70248.6290002242,,4.69785886363739,5.34999990463257,1.92289277682856
